transect,class,x,y,lon,lat,nasc
3,BT,660.0,6310.0,-162.4123401818182,56.90831068181817,19.214378454545457
3,BT,660.0,6300.0,-162.4152742272727,56.81592948181819,2.9606477272727276
3,BT,660.0,6290.0,-162.41923136,56.72774757999999,2.0731142
3,BT,660.0,6280.0,-162.42292264545452,56.64146562727273,1.9181891818181818
3,BT,660.0,6270.0,-162.4267623909091,56.549499690909094,0.34888936363636364
3,BT,660.0,6260.0,-162.43054422727272,56.45703404545455,1.8680411818181817
3,BT,660.0,6250.0,-162.43328254,56.36889633,1.6298092
3,BT,660.0,6240.0,-162.4367284,56.280850518181815,3.3472520909090906
3,BT,660.0,6230.0,-162.44193992727276,56.18854814545454,5.983940727272728
3,BT,660.0,6220.0,-162.44693393636365,56.096272827272735,2.8577574545454545
3,BT,660.0,6210.0,-162.45127496,56.00817517,8.2656657
3,BT,660.0,6200.0,-162.45216006666666,55.921219525,30.844933250000008
3,BT,660.0,6190.0,-162.45352267272725,55.82646006363637,38.844056
4,BT,620.0,6160.0,-163.05095011999998,55.57210159000001,23.584968299999996
4,BT,620.0,6170.0,-163.05039146363637,55.660290709090916,11.711180545454546
4,BT,620.0,6180.0,-163.04849429166666,55.751589725,91.2510676666667
4,BT,620.0,6190.0,-163.04624794,55.84026106,7.397254000000001
4,BT,620.0,6200.0,-163.04420125454544,55.928502281818176,1.0055067272727274
4,BT,620.0,6210.0,-163.0418115909091,56.02088545454544,11.876729545454545
4,BT,620.0,6220.0,-163.03896947,56.1089698,11.712210599999999
4,BT,620.0,6230.0,-163.03735919090911,56.19710764545455,0.06161390909090909
4,BT,620.0,6240.0,-163.0359940181818,56.28950552727274,24.19414445454546
4,BT,620.0,6250.0,-163.03355970909092,56.381168590909084,0.18397927272727274
4,BT,620.0,6260.0,-163.03162201818182,56.4660585909091,0.35761818181818184
4,BT,620.0,6270.0,-163.03005738181818,56.55839642727273,0.18392081818181819
4,BT,620.0,6280.0,-163.02832674545454,56.65068944545454,0.16218390909090907
4,BT,620.0,6290.0,-163.02686756999998,56.738754529999994,0.0
4,BT,620.0,6300.0,-163.02489371818186,56.82680775454546,0.13554309090909092
4,BT,620.0,6310.0,-163.02040239090908,56.91912458181819,0.06920436363636363
4,BT,620.0,6320.0,-163.02151654000002,57.00717686,0.9880055000000001
4,BT,620.0,6330.0,-163.01782626363635,57.09523936363635,0.7089662727272729
4,BT,620.0,6340.0,-163.01499035,57.174933087499994,2.199926875
5,BT,580.0,6340.0,-163.62783016249998,57.18108071249999,3.0571539999999997
5,BT,580.0,6330.0,-163.62886602999998,57.105531969999994,8.2225528
5,BT,580.0,6320.0,-163.62969505454546,57.01743247272728,1.7566405454545453
5,BT,580.0,6310.0,-163.63053304166667,56.921515383333336,2.7120505833333333
5,BT,580.0,6300.0,-163.63068768181816,56.834814890909094,8.640818000000001
5,BT,580.0,6290.0,-163.63177756,56.746694219999995,12.3166882
5,BT,580.0,6280.0,-163.63163120000002,56.6585570090909,1.182739272727273
5,BT,580.0,6270.0,-163.6325603090909,56.56619262727273,7.014063090909091
5,BT,580.0,6260.0,-163.63271558000002,56.478057750000005,9.1290079
5,BT,580.0,6250.0,-163.63186548181818,56.38994338181818,8.799311909090909
5,BT,580.0,6240.0,-163.6348321,56.297579727272726,17.82701118181818
5,BT,580.0,6230.0,-163.63590535454543,56.20526135454545,24.642847454545457
5,BT,580.0,6220.0,-163.63664071,56.11709897000001,33.9912037
5,BT,580.0,6210.0,-163.63732814,56.03311737,52.966843999999995
5,BT,590.0,6210.0,-163.6374807,55.9868971,7.860191
