Column1,survey,event_id,latitude,longitude,lla,utm,x,y
38,201006,54,58.59048833,-172.55938,"LLA(lat=58.59048833°, lon=-172.55938°, alt=0.0)","UTM(61135.28241925733, 6.519218338892498e6, 0.0)",61.13528241925733,6519.218338892498
39,201006,55,58.01360333,-172.42960833,"LLA(lat=58.01360333°, lon=-172.42960833°, alt=0.0)","UTM(61550.300084552204, 6.454388782714647e6, 0.0)",61.550300084552205,6454.388782714647
40,201006,56,57.89396333,-172.41957833,"LLA(lat=57.89396333°, lon=-172.41957833°, alt=0.0)","UTM(60675.899935619265, 6.441052892305121e6, 0.0)",60.67589993561926,6441.052892305121
41,201006,57,57.93183167,-173.07465167,"LLA(lat=57.93183167°, lon=-173.07465167°, alt=0.0)","UTM(22501.01374704251, 6.449707806082797e6, 0.0)",22.50101374704251,6449.707806082797
42,201006,58,58.27871333,-173.16745833,"LLA(lat=58.27871333°, lon=-173.16745833°, alt=0.0)","UTM(21713.891053300875, 6.488814623786814e6, 0.0)",21.713891053300873,6488.814623786813
43,201006,59,58.55109667,-173.22758833,"LLA(lat=58.55109667°, lon=-173.22758833°, alt=0.0)","UTM(21921.62624603248, 6.519429620209399e6, 0.0)",21.92162624603248,6519.429620209398
44,201006,60,58.91109833,-173.30247167,"LLA(lat=58.91109833°, lon=-173.30247167°, alt=0.0)","UTM(22559.80334279564, 6.559855986569045e6, 0.0)",22.55980334279564,6559.855986569045
45,201006,61,59.256705,-173.40847167,"LLA(lat=59.256705°, lon=-173.40847167°, alt=0.0)","UTM(21340.151629143045, 6.598906715353181e6, 0.0)",21.340151629143044,6598.9067153531805
46,201006,62,59.70475333,-174.18723333,"LLA(lat=59.70475333°, lon=-174.18723333°, alt=0.0)","UTM(-15907.473950349842, 6.654360693292419e6, 0.0)",-15.907473950349843,6654.3606932924195
47,201006,63,59.69180333,-174.21313,"LLA(lat=59.69180333°, lon=-174.21313°, alt=0.0)","UTM(-17556.126623583958, 6.653130295844087e6, 0.0)",-17.556126623583957,6653.130295844087
48,201006,64,59.30849,-174.06639167,"LLA(lat=59.30849°, lon=-174.06639167°, alt=0.0)","UTM(-15180.489955775964, 6.609566389768175e6, 0.0)",-15.180489955775963,6609.566389768175
