column1,survey,event_id,eqlatitude,eqlongitude,lla,utm,x,y,edsu_idx
15,202104,19,55.4188766667,-157.309738333,"LLA(lat=55.4188766667°, lon=-157.309738333°, alt=0.0)","UTM(986273.802999784, 6.168340151937054e6, 0.0)",986.273802999784,6168.340151937054,2507
16,202104,20,55.3254733333,-156.118801667,"LLA(lat=55.3254733333°, lon=-156.118801667°, alt=0.0)","UTM(1.0627068624607888e6, 6.166995716159773e6, 0.0)",1062.706862460789,6166.995716159773,2481
17,202104,10,55.3197633333,-160.210195,"LLA(lat=55.3197633333°, lon=-160.210195°, alt=0.0)","UTM(803830.3695968369, 6.140828910187872e6, 0.0)",803.8303695968368,6140.828910187872,2690
18,202104,15,54.6176983333,-158.496858333,"LLA(lat=54.6176983333°, lon=-158.496858333°, alt=0.0)","UTM(919644.2461136628, 6.071702194251628e6, 0.0)",919.6442461136628,6071.702194251628,341
19,202104,16,54.864685,-157.706463333,"LLA(lat=54.864685°, lon=-157.706463333°, alt=0.0)","UTM(967696.7069344609, 6.104132936066906e6, 0.0)",967.6967069344608,6104.132936066906,364
20,202104,11,55.2294416667,-160.171968333,"LLA(lat=55.2294416667°, lon=-160.171968333°, alt=0.0)","UTM(806950.0753520329, 6.130957729990245e6, 0.0)",806.9500753520329,6130.957729990245,2402
21,202104,35,57.1916866667,-152.350608333,"LLA(lat=57.1916866667°, lon=-152.350608333°, alt=0.0)","UTM(1.2618655678307158e6, 6.40986822065397e6, 0.0)",1261.8655678307157,6409.86822065397,3707
22,202104,53,58.2640583333,-150.082088333,"LLA(lat=58.2640583333°, lon=-150.082088333°, alt=0.0)","UTM(1.3707823564128058e6, 6.555375253190614e6, 0.0)",1370.782356412806,6555.375253190614,1064
23,202104,17,54.8670533333,-157.679193333,"LLA(lat=54.8670533333°, lon=-157.679193333°, alt=0.0)","UTM(969414.5294358952, 6.104578781426603e6, 0.0)",969.4145294358951,6104.578781426603,365
24,202104,22,55.652495,-155.45581,"LLA(lat=55.652495°, lon=-155.45581°, alt=0.0)","UTM(1.099561661163316e6, 6.208790644909711e6, 0.0)",1099.561661163316,6208.790644909711,709
25,202104,36,57.2785283333,-152.527803333,"LLA(lat=57.2785283333°, lon=-152.527803333°, alt=0.0)","UTM(1.2494857618899378e6, 6.417453044532893e6, 0.0)",1249.4857618899377,6417.453044532893,3721
26,202104,48,57.6151616667,-151.883791667,"LLA(lat=57.6151616667°, lon=-151.883791667°, alt=0.0)","UTM(1.2806253085074024e6, 6.46184313784404e6, 0.0)",1280.6253085074025,6461.84313784404,3842
27,202104,65,59.5494183333,-144.490215,"LLA(lat=59.5494183333°, lon=-144.490215°, alt=0.0)","UTM(1.6470704256465565e6, 6.781124621436504e6, 0.0)",1647.0704256465565,6781.124621436504,1987
28,202104,58,59.8542316667,-148.731611667,"LLA(lat=59.8542316667°, lon=-148.731611667°, alt=0.0)","UTM(1.4052132464165292e6, 6.747443125357333e6, 0.0)",1405.2132464165293,6747.443125357333,1681
29,202104,63,59.9459566667,-147.091248333,"LLA(lat=59.9459566667°, lon=-147.091248333°, alt=0.0)","UTM(1.4922249217094756e6, 6.7812734690373475e6, 0.0)",1492.2249217094757,6781.273469037347,2047
30,202104,25,55.9432183333,-153.647448333,"LLA(lat=55.9432183333°, lon=-153.647448333°, alt=0.0)","UTM(1.207318392605322e6, 6.2581263157471325e6, 0.0)",1207.318392605322,6258.126315747132,897
31,202104,68,59.2695716667,-141.871071667,"LLA(lat=59.2695716667°, lon=-141.871071667°, alt=0.0)","UTM(1.8005620575016146e6, 6.800468210795183e6, 0.0)",1800.5620575016146,6800.468210795183,1921
32,202104,47,57.4472216667,-151.395455,"LLA(lat=57.4472216667°, lon=-151.395455°, alt=0.0)","UTM(1.3132223221786888e6, 6.449158880615192e6, 0.0)",1313.2223221786887,6449.158880615192,3806
33,202104,52,58.1197533333,-149.891495,"LLA(lat=58.1197533333°, lon=-149.891495°, alt=0.0)","UTM(1.3854152946257247e6, 6.542075994679537e6, 0.0)",1385.4152946257248,6542.075994679537,2808
34,202104,54,58.4687816667,-150.362625,"LLA(lat=58.4687816667°, lon=-150.362625°, alt=0.0)","UTM(1.349582691293346e6, 6.574187579973846e6, 0.0)",1349.582691293346,6574.1875799738455,1034
35,202104,56,58.1208,-148.797168333,"LLA(lat=58.1208°, lon=-148.797168333°, alt=0.0)","UTM(1.4487515611521795e6, 6.557270563173602e6, 0.0)",1448.7515611521794,6557.270563173603,1061
36,202104,59,59.618455,-148.362005,"LLA(lat=59.618455°, lon=-148.362005°, alt=0.0)","UTM(1.432113891936644e6, 6.726926727715127e6, 0.0)",1432.113891936644,6726.9267277151275,1715
37,202104,60,59.0969516667,-147.64363,"LLA(lat=59.0969516667°, lon=-147.64363°, alt=0.0)","UTM(1.48699831441954e6, 6.680635293727819e6, 0.0)",1486.99831441954,6680.635293727819,1794
38,202104,18,55.82358,-157.819005,"LLA(lat=55.82358°, lon=-157.819005°, alt=0.0)","UTM(949464.5607180016, 6.209796978137939e6, 0.0)",949.4645607180016,6209.796978137939,3386
39,202104,26,56.2704233333,-152.958176667,"LLA(lat=56.2704233333°, lon=-152.958176667°, alt=0.0)","UTM(1.2436332073578364e6, 6.301557690904935e6, 0.0)",1243.6332073578365,6301.557690904935,924
40,202104,38,58.7312916667,-152.710553333,"LLA(lat=58.7312916667°, lon=-152.710553333°, alt=0.0)","UTM(1.2090034011599915e6, 6.5755105327401785e6, 0.0)",1209.0034011599914,6575.510532740179,1032
41,202104,40,57.9726483333,-153.920885,"LLA(lat=57.9726483333°, lon=-153.920885°, alt=0.0)","UTM(1.153571328311116e6, 6.479499350371978e6, 0.0)",1153.571328311116,6479.499350371978,1143
42,202104,41,57.3178466667,-155.442175,"LLA(lat=57.3178466667°, lon=-155.442175°, alt=0.0)","UTM(1.0745367685596915e6, 6.393250899805184e6, 0.0)",1074.5367685596916,6393.250899805184,3044
43,202104,43,56.7746783333,-156.235205,"LLA(lat=56.7746783333°, lon=-156.235205°, alt=0.0)","UTM(1.0348159401624759e6, 6.326631279014485e6, 0.0)",1034.815940162476,6326.631279014485,3458
44,202104,45,56.1121533333,-156.542528333,"LLA(lat=56.1121533333°, lon=-156.542528333°, alt=0.0)","UTM(1.0252182231856365e6, 6.250836446885708e6, 0.0)",1025.2182231856364,6250.836446885708,3355
45,202104,46,55.6590133333,-156.066881667,"LLA(lat=55.6590133333°, lon=-156.066881667°, alt=0.0)","UTM(1.0612000311372546e6, 6.204373527024506e6, 0.0)",1061.2000311372547,6204.373527024506,3410
46,202104,49,58.42809,-151.493915,"LLA(lat=58.42809°, lon=-151.493915°, alt=0.0)","UTM(1.2854327589052333e6, 6.555813508839448e6, 0.0)",1285.4327589052334,6555.813508839448,1228
47,202104,50,58.16793,-151.096626667,"LLA(lat=58.16793°, lon=-151.096626667°, alt=0.0)","UTM(1.3143449217076483e6, 6.531997252418506e6, 0.0)",1314.3449217076484,6531.997252418506,1096
48,202104,1,53.7315,-165.2337,"LLA(lat=53.7315°, lon=-165.2337°, alt=0.0)","UTM(484582.6771184769, 5.953674245487911e6, 0.0)",484.5826771184769,5953.67424548791,109
49,202104,14,55.34704,-159.004695,"LLA(lat=55.34704°, lon=-159.004695°, alt=0.0)","UTM(879947.8104311073, 6.149787703673673e6, 0.0)",879.9478104311073,6149.787703673673,2440
50,202104,21,55.4289833333,-156.245128333,"LLA(lat=55.4289833333°, lon=-156.245128333°, alt=0.0)","UTM(1.0532717248548437e6, 6.177448305505855e6, 0.0)",1053.2717248548438,6177.448305505855,2518
51,202104,29,56.3049633333,-152.506543333,"LLA(lat=56.3049633333°, lon=-152.506543333°, alt=0.0)","UTM(1.2706491193543328e6, 6.310378682556224e6, 0.0)",1270.6491193543327,6310.378682556224,937
52,202104,30,56.4659283333,-152.328793333,"LLA(lat=56.4659283333°, lon=-152.328793333°, alt=0.0)","UTM(1.2782206903410852e6, 6.330143339958542e6, 0.0)",1278.2206903410852,6330.143339958542,3224
53,202104,34,57.11963,-152.750361667,"LLA(lat=57.11963°, lon=-152.750361667°, alt=0.0)","UTM(1.239396942778036e6, 6.397486173073317e6, 0.0)",1239.396942778036,6397.486173073317,983
54,202104,3,53.7663083333,-164.02422,"LLA(lat=53.7663083333°, lon=-164.02422°, alt=0.0)","UTM(564318.6980231559, 5.957963317552371e6, 0.0)",564.3186980231559,5957.963317552371,114
55,202104,5,54.0743816667,-161.826068333,"LLA(lat=54.0743816667°, lon=-161.826068333°, alt=0.0)","UTM(707645.6595143217, 5.996456775158725e6, 0.0)",707.6456595143217,5996.456775158725,154
56,202104,27,56.6660266667,-153.458945,"LLA(lat=56.6660266667°, lon=-153.458945°, alt=0.0)","UTM(1.2054433252696916e6, 6.3398945882984735e6, 0.0)",1205.4433252696917,6339.8945882984735,3495
57,202104,39,58.4571666667,-153.050158333,"LLA(lat=58.4571666667°, lon=-153.050158333°, alt=0.0)","UTM(1.195005139142109e6, 6.541726770052721e6, 0.0)",1195.005139142109,6541.726770052721,1205
58,202104,42,57.0873833333,-156.04791,"LLA(lat=57.0873833333°, lon=-156.04791°, alt=0.0)","UTM(1.0416348732493521e6, 6.362750795259024e6, 0.0)",1041.634873249352,6362.750795259024,3077
59,202104,31,56.6321816667,-152.577581667,"LLA(lat=56.6321816667°, lon=-152.577581667°, alt=0.0)","UTM(1.259669821614231e6, 6.345656767307765e6, 0.0)",1259.669821614231,6345.656767307765,3508
60,202104,57,59.0337983333,-148.764046667,"LLA(lat=59.0337983333°, lon=-148.764046667°, alt=0.0)","UTM(1.4258850664598146e6, 6.657466071475861e6, 0.0)",1425.8850664598147,6657.466071475861,1363
61,202104,61,60.1329833333,-147.091095,"LLA(lat=60.1329833333°, lon=-147.091095°, alt=0.0)","UTM(1.4865498645514445e6, 6.801574431252936e6, 0.0)",1486.5498645514444,6801.574431252936,2262
62,202104,64,59.550535,-145.772411667,"LLA(lat=59.550535°, lon=-145.772411667°, alt=0.0)","UTM(1.576776227380398e6, 6.759356252209634e6, 0.0)",1576.776227380398,6759.356252209634,2011
63,202104,66,59.6503233333,-143.180188333,"LLA(lat=59.6503233333°, lon=-143.180188333°, alt=0.0)","UTM(1.7147941709277155e6, 6.815791538901635e6, 0.0)",1714.7941709277154,6815.791538901635,2278
64,202104,67,59.4800533333,-140.560171667,"LLA(lat=59.4800533333°, lon=-140.560171667°, alt=0.0)","UTM(1.8632398818257127e6, 6.849855336483359e6, 0.0)",1863.2398818257127,6849.85533648336,2317
65,202104,24,56.2005633333,-153.981148333,"LLA(lat=56.2005633333°, lon=-153.981148333°, alt=0.0)","UTM(1.1820324780972598e6, 6.283174467693504e6, 0.0)",1182.0324780972599,6283.174467693504,3279
66,202104,37,57.4424183333,-152.64272,"LLA(lat=57.4424183333°, lon=-152.64272°, alt=0.0)","UTM(1.2392939632650206e6, 6.434245334635402e6, 0.0)",1239.2939632650207,6434.245334635402,2962
67,202104,44,56.3637183333,-156.075328333,"LLA(lat=56.3637183333°, lon=-156.075328333°, alt=0.0)","UTM(1.0505056102781822e6, 6.282375004467249e6, 0.0)",1050.5056102781823,6282.375004467249,859
