age,i,n_age,biomass_age
02,26,2.025109425764633e8,1.3369401705784217e7
01,26,1.370074650699999e9,2.4286944157552857e7
06,27,4.7341603174744874e7,4.0550155561709106e7
03,27,6.220382432518377e6,2.0121410348985046e6
01,27,8.089739529070972e8,1.4876776452950692e7
07,27,4.777997511625627e7,4.639464092304172e7
10,27,7.878723660090874e7,1.1114104079397509e8
05,27,7.330626826654273e7,5.076230361618469e7
09,27,1.858020235920651e7,2.2872410304114528e7
08,27,1.0411006842197413e7,1.1318888640176946e7
04,27,1.9923539626579467e7,1.1030371509372478e7
02,27,1.345013623900465e8,9.710907598920444e6
10,28,8.637960007885219e7,1.2026401565416606e8
04,28,2.053416323469013e7,1.1471631033637263e7
07,28,2.060369647963286e7,1.9673702224568512e7
08,28,1.4371387878391305e7,1.5572584138098227e7
06,28,6.0749044602893345e7,5.240300147316764e7
02,28,1.7353613827838805e8,1.1642574909534676e7
05,28,7.014486713426933e7,4.999470984830829e7
09,28,9.111862481440442e6,1.1057033885888824e7
03,28,9.208409589538509e6,2.934450495903999e6
01,28,1.2942987654143348e9,2.3735315253081333e7
05,29,5.731781829586401e7,4.073091355473863e7
02,29,1.6894425087812003e8,1.1705922435932823e7
01,29,1.4167195439086587e9,3.286703831156243e7
04,29,2.5057701646638814e7,1.3732897329191083e7
06,29,4.8668453968503736e7,4.178899078801591e7
03,29,8.461071817922564e6,2.617888554666777e6
09,29,1.778254145298669e7,2.1895519592041466e7
07,29,2.002241278703934e7,1.9518467692959234e7
10,29,7.247892248639335e7,1.0161609452687427e8
08,29,1.7662020861910887e7,1.9229542369377863e7
02,30,1.6921196676521602e8,1.174446132661039e7
05,30,6.585001871523907e7,4.690457940721836e7
04,30,2.27156292472151e7,1.2592464658275843e7
07,30,3.1831719140444025e7,3.014277691948579e7
01,30,1.451021103949179e9,3.412673956595569e7
06,30,3.0089815854879666e7,2.5911369571796335e7
10,30,7.761113187368588e7,1.0690281998192747e8
03,30,8.12708881646251e6,2.5998133123266757e6
08,30,1.977800495097487e7,2.1104008215376023e7
09,30,1.4373723497176439e7,1.6979596987913337e7
03,31,1.0763638088837972e7,3.359987021654731e6
10,31,9.22847342754656e7,1.269841244479724e8
06,31,5.682771366772967e7,4.813763359500944e7
05,31,7.182782523622814e7,5.122834073113679e7
01,31,1.6643691786866667e9,3.13679038942639e7
09,31,2.1567609137066517e7,2.5008448443557456e7
04,31,2.7762367549920548e7,1.5558129405063666e7
02,31,2.362912353385726e8,1.6748558733086092e7
08,31,2.266423701951041e7,2.3829304954556342e7
07,31,1.4863647870389357e7,1.37030970721097e7
04,32,2.8306274707543433e7,1.5816629080098055e7
02,32,1.1179800708324294e8,7.987086647615185e6
07,32,3.985441967632649e7,3.863226071601961e7
05,32,7.784953203163455e7,5.5763249783382304e7
03,32,6.11840207758218e6,1.8857824711058612e6
01,32,1.2939747441550038e9,3.0123833526945237e7
10,32,9.42660424742378e7,1.2961001751654193e8
09,32,1.905941380861937e7,2.214329745578577e7
06,32,2.7539559310342215e7,2.3880722550333247e7
08,32,6.333919758499575e6,6.882807098882861e6
10,33,8.478150311626714e7,1.1841116212341323e8
02,33,1.5759749355460075e8,1.0721925620100752e7
06,33,8.207012797711849e7,7.031182660498972e7
01,33,1.445758015226554e9,3.2196432223676544e7
03,33,1.0130791217197832e7,3.150321779833611e6
07,33,1.8339440767644946e7,1.7673805155523974e7
04,33,3.0207600150408987e7,1.6552043104478987e7
08,33,1.1449796087644633e7,1.2062100054294355e7
05,33,4.477680372139526e7,3.12741614195794e7
09,33,1.1650779343956815e7,1.3513731034625221e7
06,34,5.051493294681074e7,4.196380784431673e7
07,34,4.4748163044437215e7,4.228869872235386e7
01,34,1.654954136499228e9,2.452875747049588e7
10,34,7.112302004698655e7,9.988976611385788e7
08,34,2.0852676911343317e7,2.1902771925173644e7
03,34,8.941709914898338e6,2.776178990427962e6
05,34,5.582298396684793e7,3.8203101623672806e7
04,34,2.4912409701618463e7,1.2996376091419354e7
02,34,1.2685083903989537e8,8.621184625724811e6
09,34,2.6211328001250125e7,3.148216470329712e7
07,35,5.769801872378989e7,5.464850100320531e7
04,35,3.6052098557696626e7,2.051877252795577e7
01,35,1.4761358646852994e9,4.0803033237191096e7
03,35,1.3114310931101209e7,4.0052620681630033e6
10,35,8.843828635295618e7,1.2205627220949824e8
09,35,2.041203310532016e7,2.3744869799743313e7
05,35,4.6876486477678776e7,3.2503820878470164e7
02,35,1.0832811540964712e8,7.2958907109611165e6
06,35,3.504007073477709e7,2.94125489903428e7
08,35,1.0722030293669067e7,1.1398221227417855e7
10,36,8.339697685984482e7,1.1375516085017261e8
01,36,1.706227843908872e9,2.783082296720276e7
05,36,4.156219067866181e7,2.9035646355764154e7
06,36,6.505555431512839e7,5.498392960259279e7
09,36,1.8120204328881748e7,2.1267278049801785e7
03,36,1.70346353089891e7,5.348168152542527e6
07,36,2.7098094552579284e7,2.5562859197951593e7
04,36,2.9834648942398757e7,1.6627621676977908e7
08,36,1.2268335693933383e7,1.335686161618821e7
02,36,1.4827737607291672e8,1.0089446781790383e7
08,37,1.5199088362922072e7,1.6010566391142553e7
01,37,1.6289924160292194e9,2.3459279164670147e7
05,37,6.126899162457678e7,4.2960438331169054e7
10,37,7.550985746974897e7,1.0324578273653418e8
06,37,5.132486322681001e7,4.392914602915212e7
04,37,3.0723537090111714e7,1.6565967754111117e7
03,37,7.766887591876686e6,2.371073821560844e6
09,37,2.506955130239863e7,3.0084155029944364e7
02,37,1.9608573152843133e8,1.3920688291236147e7
07,37,3.404810403055448e7,3.228856044578037e7
05,38,6.904936992230923e7,4.859243669284658e7
06,38,5.116561710154935e7,4.338663293238657e7
02,38,1.9139179577606294e8,1.1658266307222735e7
03,38,8.30951163910194e6,2.7020053554607625e6
09,38,1.758974930986314e7,2.0883069073107406e7
07,38,2.1012997998253778e7,1.9978037108077716e7
01,38,7.401129657512586e8,9.793880227682453e6
10,38,9.953326856247209e7,1.3585939272300422e8
04,38,2.4392475598711167e7,1.3122013161406456e7
08,38,2.067801605522476e7,2.2136437335286018e7
06,39,5.0383505030398645e7,4.350275254988024e7
03,39,8.142029532412303e6,2.5513044449481945e6
07,39,3.2203944179513685e7,3.087765466320529e7
05,39,7.152190391835292e7,5.079030516037002e7
08,39,6.94341019265844e6,7.296079004223085e6
10,39,8.288379715001751e7,1.1442308061462504e8
01,39,1.4235303966982098e9,2.866038350142955e7
02,39,1.694089282252191e8,1.1970953735994928e7
09,39,2.52515065302825e7,3.0055219804747373e7
04,39,2.5859931831700314e7,1.4790077917880364e7
05,40,5.849408437642725e7,4.015085723765639e7
09,40,2.209345919818473e7,2.609732202865835e7
03,40,1.0978292872468475e7,3.5809785253708884e6
06,40,5.675990672819231e7,4.871452892160244e7
10,40,8.118722621349995e7,1.1339339553443435e8
04,40,2.3414514121146917e7,1.262173485706604e7
07,40,2.6418230260070436e7,2.5260845085765816e7
01,40,1.5924202294881055e9,4.317962783942831e7
08,40,1.3790226104964811e7,1.4356878657508878e7
02,40,1.6208241857938683e8,1.1407139858727034e7
05,41,6.896542757500353e7,5.01730710987767e7
06,41,4.4989861309291065e7,3.934696116243889e7
01,41,1.1689336505208135e9,2.7883340448324226e7
04,41,2.397751206074481e7,1.3140831529808221e7
02,41,1.6073452665237394e8,1.1188772718646368e7
07,41,2.2158806276950214e7,2.157141030997339e7
09,41,1.888392599698523e7,2.3103140342191696e7
08,41,2.0687390462173536e7,2.252566766379652e7
03,41,1.0806544527199507e7,3.322803173759469e6
10,41,7.594774891711482e7,1.0600978231896447e8
01,42,1.6146735659473827e9,2.8047994675780274e7
05,42,6.750305446269023e7,4.7811014741885975e7
09,42,1.8687645806507975e7,2.265774563773811e7
04,42,2.3754880292957246e7,1.283329896954178e7
06,42,5.8263257407382056e7,5.071703316227464e7
10,42,8.845042103037335e7,1.223457306930331e8
07,42,2.766623190441306e7,2.779312888788969e7
03,42,8.460840009354196e6,2.5946976993005015e6
02,42,2.5228436595855424e8,1.621719047775167e7
08,42,1.0198773157437006e7,1.1071234337044256e7
05,43,7.185930071005984e7,4.9657478495235346e7
10,43,8.428104431992036e7,1.1424432959824401e8
01,43,1.4577365880805926e9,2.9681706166440267e7
04,43,1.9802976992039293e7,1.1014321604703417e7
07,43,3.0607408773014143e7,2.8952829127071243e7
06,43,4.3222782497468315e7,3.610897481604209e7
08,43,1.553836996881209e7,1.640262412175843e7
09,43,1.768431528793205e7,2.000095052006303e7
03,43,1.114025510278943e7,3.6394814968150384e6
02,43,1.5112449935805047e8,1.0373963228936786e7
08,44,1.765614574625715e7,1.954533086476297e7
07,44,4.295773674753483e7,4.2067421172959805e7
04,44,3.740387387766674e7,2.137020868315854e7
09,44,1.829442152454545e7,2.1813355659728695e7
05,44,5.019837685708652e7,3.569697827918613e7
02,44,1.3797035183176816e8,9.381139752689056e6
01,44,1.357995970933429e9,3.2890370936812446e7
10,44,7.401620876224807e7,1.0506755025473158e8
