year,variable,age,mean,std,cv,upper,lower
2008,n,8,9.55226525249209e7,7.378068755693181e6,0.07723894344085888,1.1027879003630726e8,8.076651501353453e7
2008,n,9,7.422863032372579e7,6.081707903828164e6,0.08193210459770885,8.639204613138212e7,6.2065214516069464e7
2008,n,10,6.56165091565509e7,5.415372246018893e6,0.08253063620160969,7.644725364858869e7,5.478576466451311e7
2008,biomass,1,5.101237202954558e6,2.2908655955921467e6,0.44908039058942656,9.68296839413885e6,519506.01177026425
2008,biomass,2,2.564603843240407e8,1.0106974877090488e8,0.39409497508668656,4.5859988186585045e8,5.432088678223094e7
2008,biomass,3,2.0034804413579166e8,3.6360962203770705e7,0.1814889801426063,2.7306996854333305e8,1.2762611972825025e8
2008,biomass,4,6.499323092925376e7,6.820033069270895e6,0.10493451351410145,7.863329706779554e7,5.135316479071197e7
2008,biomass,5,7.92768673557168e7,6.688294535857459e6,0.08436628185428866,9.265345642743172e7,6.590027828400188e7
2008,biomass,6,1.5314170066085064e8,1.2134537761392672e7,0.0792373188297416,1.7741077618363598e8,1.2887262513806531e8
2008,biomass,7,1.3813635747066024e8,1.013914425603717e7,0.07339953392205738,1.584146459827346e8,1.178580689585859e8
2008,biomass,8,9.434367516370201e7,7.296928708564772e6,0.07734412185982138,1.0893753258083156e8,7.974981774657246e7
2008,biomass,9,7.319973242353278e7,5.974821080997793e6,0.0816235371794469,8.514937458552837e7,6.1250090261537194e7
2008,biomass,10,8.982251019980069e7,7.872241491698036e6,0.08764218984959413,1.0556699318319675e8,7.407802721640462e7
2009,n,1,7.599735998080893e9,1.3473874382080598e9,0.17729397949459114,1.0294510874497013e10,4.904961121664773e9
2009,n,2,7.916308186176562e8,1.5250991082505932e8,0.19265282154043945,1.0966506402677748e9,4.866109969675376e8
2009,n,3,1.4888905914310615e9,2.871686168583162e8,0.19287422360719017,2.0632278251476939e9,9.145533577144291e8
2009,n,4,2.1480085131661457e8,4.475690696736126e7,0.20836466286341654,3.0431466525133705e8,1.2528703738189206e8
2009,n,5,5.2321130063747756e7,9.869050838016737e6,0.18862457339878447,7.205923173978123e7,3.258302838771428e7
2009,n,6,6.497374520747293e7,8.260610026850892e6,0.12713766153502878,8.149496526117471e7,4.845252515377115e7
2009,n,7,5.059943730553418e7,6.808496282022519e6,0.13455675882146337,6.421642986957921e7,3.698244474148914e7
2009,n,8,3.453980761729423e7,5.357643409057763e6,0.15511503330942608,4.5255094435409755e7,2.3824520799178705e7
2009,n,9,5.51693544104008e7,6.610811704637077e6,0.11982760674449316,6.839097781967495e7,4.194773100112665e7
2009,n,10,3.419308592122126e7,4.694393911819705e6,0.13729073540292022,4.358187374486067e7,2.4804298097581856e7
2009,biomass,1,1.5729211239879197e8,2.757986213646099e7,0.17534167299207057,2.1245183667171395e8,1.0213238812586999e8
2009,biomass,2,7.89894908780316e7,1.5039956281150026e7,0.19040452234808503,1.0906940344033165e8,4.890957831573154e7
2009,biomass,3,3.6226013668250704e8,7.218774701285926e7,0.1992704681059794,5.0663563070822555e8,2.1788464265678853e8
2009,biomass,4,9.338050576816614e7,1.9297290694974974e7,0.2066522400605107,1.3197508715811609e8,5.478592437821619e7
2009,biomass,5,3.1983936563734397e7,5.653400965551298e6,0.17675750932927736,4.329073849483699e7,2.06771346326318e7
2009,biomass,6,6.338487137342448e7,7.822290020013561e6,0.12340941695581369,7.90294514134516e7,4.774029133339736e7
2009,biomass,7,4.200969189260058e7,5.5123613961133845e6,0.1312164204918701,5.303441468482735e7,3.0984969100373812e7
2009,biomass,8,4.270875285789512e7,6.570107759638496e6,0.15383515836904024,5.584896837717211e7,2.956853733861813e7
2009,biomass,9,5.999603034162279e7,7.080077988948388e6,0.11800910741317029,7.415618631951956e7,4.583587436372602e7
2009,biomass,10,4.784984081461584e7,6.694891290259518e6,0.13991459900979542,6.123962339513487e7,3.44600582340968e7
2010,n,1,5.971205173703312e9,1.5776647792757792e9,0.2642121202305496,9.126534732254871e9,2.8158756151517534e9
2010,n,2,6.962938971363949e9,1.15589335809345e9,0.1660065329952225,9.27472568755085e9,4.651152255177049e9
