i,species_code,age,n,biomass
29,21740,10,1.2549517094600245e8,1.1853791058890161e8
30,21740,1,3.64798996524462e8,1.0951640505918587e7
30,21740,2,3.9342206875150174e8,4.289383035431151e7
30,21740,3,2.2301232438724813e8,5.4220950774144985e7
30,21740,4,6.951562062704458e8,2.6685998328758883e8
30,21740,5,2.665468594545449e9,1.4016797818529887e9
30,21740,6,1.1724372909301686e9,7.26853861454986e8
30,21740,7,2.4209056498528135e8,1.572004542181016e8
30,21740,8,1.3010480219055304e8,9.118328786270002e7
30,21740,9,1.2662215321087891e8,1.0235148326882567e8
30,21740,10,1.1812816203900427e8,1.102343785234617e8
31,21740,1,3.297966073081006e8,1.0110269277159149e7
31,21740,2,4.244284058824275e8,4.725945893391555e7
31,21740,3,2.3042409132093093e8,5.344386749614536e7
31,21740,4,6.742435943112463e8,2.5116267543699458e8
31,21740,5,2.481825032353966e9,1.2991860978224328e9
31,21740,6,1.0904668780199327e9,6.670258995476351e8
31,21740,7,2.2164319254473615e8,1.417117755901242e8
31,21740,8,1.2330846411790383e8,8.434709430609721e7
31,21740,9,1.2514311599986212e8,1.005370283968671e8
31,21740,10,1.0768507483192584e8,1.0069335608491929e8
32,21740,1,3.0331337291672975e8,9.409418290062847e6
32,21740,2,3.731950047971421e8,4.15454098200897e7
32,21740,3,2.261649815947323e8,5.208141794518012e7
32,21740,4,6.548249874954379e8,2.4610393646143013e8
32,21740,5,2.4131784201581874e9,1.255030596268965e9
32,21740,6,1.0571361954144648e9,6.470818913262458e8
32,21740,7,2.0944598858928108e8,1.3590468494328588e8
32,21740,8,1.1498024552204381e8,7.779076975985044e7
32,21740,9,1.0657751195176253e8,8.362690666469057e7
32,21740,10,1.168871201270684e8,1.1122525983977848e8
33,21740,1,4.006674009750736e8,1.1728876013513464e7
33,21740,2,4.0566555232912993e8,4.448444819242778e7
33,21740,3,2.3955815726210725e8,5.3794251846031904e7
33,21740,4,6.560328538489205e8,2.419027866148562e8
33,21740,5,2.4663201551481004e9,1.2867709818722293e9
33,21740,6,1.1441127908663814e9,7.0760943415619e8
33,21740,7,2.495672557340842e8,1.5726757601315057e8
33,21740,8,1.4150251936864123e8,9.270740752896197e7
33,21740,9,1.5763426191379046e8,1.2317226291892032e8
33,21740,10,1.4906792058037975e8,1.4125865205882078e8
34,21740,1,3.7653702142958367e8,1.1177985867393047e7
34,21740,2,3.639508390924975e8,3.9998348885456905e7
34,21740,3,2.0780869230269796e8,4.8229161715653904e7
34,21740,4,6.325405382906283e8,2.3514776193062228e8
34,21740,5,2.4164601297321167e9,1.2645496468135386e9
34,21740,6,1.1052628324791472e9,6.944532878672843e8
34,21740,7,2.3545853891057104e8,1.533513778779972e8
34,21740,8,1.3055626026622987e8,8.945957233210862e7
34,21740,9,1.2203704485908481e8,9.711421061171132e7
34,21740,10,1.2439897402886936e8,1.1984011601961158e8
35,21740,1,4.4444338791411304e8,1.1735148615942162e7
35,21740,2,4.0584059719344455e8,3.958217809684623e7
