i,species_code,age,n,biomass
27,21740,2,7541962246.926702,1355121815.2811208
27,21740,3,45306285883.40996,13375581696.12128
27,21740,4,366142617170.60535,149889089363.20093
27,21740,5,59187988198.716896,29388566043.544327
27,21740,6,10603502447.51345,5678837417.3105955
27,21740,7,7890119562.379734,4901215962.397799
27,21740,8,7658900695.426979,5512890910.671312
27,21740,9,3054372555.678179,2343208662.672267
27,21740,10,1617223228.7142122,2164673269.865707
28,21740,1,6722187908.592452,322739231.0861204
28,21740,2,15574377913.414011,2629877770.6480937
28,21740,3,58647273528.17437,16945924020.467552
28,21740,4,499920631785.0878,205907275018.04205
28,21740,5,104347827259.64612,53953880276.16235
28,21740,6,16081779618.290516,8938436329.467075
28,21740,7,9830399392.571484,6209108673.457302
28,21740,8,19144565848.40634,14437236085.040726
28,21740,9,4166133169.4329,3644893756.622011
28,21740,10,10301197110.674274,13081092128.192415
29,21740,1,2234583547.7655625,79263055.50080836
29,21740,2,19178002258.0656,3901729788.8571267
29,21740,3,85686759973.88156,23554254008.429432
29,21740,4,570615107621.5789,197506443282.15714
29,21740,5,39180993213.47014,17277172110.48577
29,21740,6,7721903015.184272,4395608144.731069
29,21740,7,4352548917.995724,2982373469.5881824
29,21740,8,6499040233.024822,4897249122.151871
29,21740,9,2537566221.844602,2021290889.8197813
29,21740,10,1157462498.3055136,1019423472.3385845
30,21740,1,1665155250.4663603,67408567.3776928
30,21740,2,7267197555.4908,1551464135.9390619
30,21740,3,36521112349.43932,11155342862.874481
30,21740,4,313025874631.26953,125536735775.80957
30,21740,5,45017617809.899895,22458326318.681675
30,21740,6,10702174652.159214,6022004779.952126
30,21740,7,4522303629.537204,3195513944.063978
30,21740,8,8125207155.970455,5927922054.122582
30,21740,9,2875787195.5445,2343188266.607236
30,21740,10,1419968337.452139,1925874168.2139523
31,21740,1,6793412235.34102,287424330.41773796
31,21740,2,17292865998.13236,2253253201.3991036
31,21740,3,76800080937.95255,23781240426.392258
31,21740,4,818512938150.7079,358542367853.82117
31,21740,5,146032303057.11392,73599302242.0465
31,21740,6,40987642258.21314,22692177625.099503
31,21740,7,21439974228.271156,14429038414.376461
31,21740,8,32566753892.35973,25311173751.84165
31,21740,9,12117977976.559343,10132270598.726646
31,21740,10,5795943377.144662,9278152211.409798
32,21740,1,2141747988.3487198,86847575.39901252
32,21740,2,14941932620.839025,3170522203.739305
32,21740,3,69637861772.39793,19777245578.08331
32,21740,4,509647858873.1055,182694839285.764
32,21740,5,40320685133.43524,19221532034.696003
32,21740,6,5652793901.921729,3061340270.8996468
32,21740,7,5701944960.970926,3974916484.238171
32,21740,8,5076507645.299322,3766972605.139587
32,21740,9,2105714458.1003077,1607863696.806364
32,21740,10,1600818715.3630035,1632452460.591158
33,21740,1,50361345058.08534,2515794822.958496
33,21740,2,49030445738.49296,4765481987.893055
33,21740,3,178886253460.72446,57633988121.17942
33,21740,4,1911899199153.204,869835365740.3431
33,21740,5,462489367365.0796,237586953265.78625
33,21740,6,133508866016.83017,82847842170.49538
33,21740,7,66649144233.296234,46758306375.80391
33,21740,8,132129882742.50299,101832452424.71642
33,21740,9,92978114128.01129,65832712967.13503
33,21740,10,35725540557.012764,60631335092.92346
34,21740,1,27554044051.225777,1350717569.8240716
34,21740,2,25808823093.78383,3540574713.6235867
34,21740,3,134661251084.44418,39878571176.1385
34,21740,4,1207467875268.944,533122248212.7849
34,21740,5,333229777742.2641,174763019139.3743
34,21740,6,99280431248.13219,62487510515.99285
34,21740,7,49390694730.62521,37379012373.67229
