i,species_code,age,n,biomass
15,21740,7,2.3376783880348373e7,1.3285428425764287e7
15,21740,8,2.899003875018219e7,2.473515071694377e7
15,21740,9,9.108599836200781e7,1.5400285499645928e8
15,21740,10,3.6882217074573055e7,4.25431527544135e7
16,21740,1,4.177830024946456e9,1.3026502209647083e8
16,21740,2,6.341167753531386e9,7.16029189534276e8
16,21740,3,9.168286506978415e8,2.433965596655193e8
16,21740,4,1.7687474128909812e9,8.268137872606932e8
16,21740,5,3.5786505724486434e8,2.244650245703434e8
16,21740,6,6.063477242952308e7,4.240813138038016e7
16,21740,7,1.7746313125066526e7,1.0524131071536431e7
16,21740,8,2.6511554388604373e7,2.2238001105682917e7
16,21740,9,7.75987119967573e7,1.3283758741156198e8
16,21740,10,3.356714862589689e7,3.8150742443078674e7
17,21740,1,4.413686718827203e9,1.3834534122315115e8
17,21740,2,5.962074134212529e9,6.702600766080685e8
17,21740,3,8.819584182404976e8,2.3463331170557556e8
17,21740,4,1.5823810308936784e9,7.34851913764769e8
17,21740,5,3.1290827495668584e8,1.954373485834516e8
17,21740,6,5.005002763200966e7,3.51846832646758e7
17,21740,7,1.4525689966744296e7,8.61911930208852e6
17,21740,8,1.5318951903491532e7,1.2326456567185968e7
17,21740,9,5.663343900145174e7,9.230907998793834e7
17,21740,10,2.0762482577446423e7,2.351451375126511e7
18,21740,1,6.318616949432488e9,1.9895169337602103e8
18,21740,2,7.017124917559783e9,7.967522472405007e8
18,21740,3,1.0489045142208905e9,2.805563793868071e8
18,21740,4,2.1295266576517632e9,9.896657789586704e8
18,21740,5,4.1736172286784244e8,2.5902927896412662e8
18,21740,6,6.127023072790613e7,4.315513466085177e7
18,21740,7,1.4663734654004278e7,9.014900675079437e6
18,21740,8,2.0464901106498893e7,1.748383884505857e7
18,21740,9,6.941632243444517e7,1.1495341761298335e8
18,21740,10,2.774917764927244e7,3.0223168112833947e7
19,21740,1,4.923871170942002e9,1.5261730035713476e8
19,21740,2,6.809553899460997e9,7.679014512705863e8
19,21740,3,9.532650011690981e8,2.5469521316547334e8
19,21740,4,1.9651296963976727e9,9.114389071209867e8
19,21740,5,4.119015859480299e8,2.60881629365664e8
19,21740,6,7.436914785564579e7,5.228823978292698e7
19,21740,7,2.3631191129056424e7,1.3659067702453628e7
19,21740,8,3.274840097924719e7,2.7310775314892836e7
19,21740,9,1.1532567338517106e8,1.97466864630109e8
19,21740,10,4.507686140889079e7,5.248777485225341e7
20,21740,1,8.65277835743293e9,2.6822169414766076e8
20,21740,2,7.71019435556843e9,8.691176550208671e8
20,21740,3,1.0962150554001417e9,2.976411744298284e8
20,21740,4,2.266399676995718e9,1.0673155861745441e9
20,21740,5,4.5623722698116803e8,2.882729892808426e8
20,21740,6,6.352593334617903e7,4.5367532697423264e7
20,21740,7,1.3857600975589065e7,8.637825618846696e6
20,21740,8,2.1088234487438135e7,1.785030119159509e7
20,21740,9,5.930720978420865e7,9.739583415338519e7
20,21740,10,2.561657342645807e7,2.8709958278576244e7
21,21740,1,6.327575217788929e9,1.9778060444166476e8
21,21740,2,7.814159534118286e9,8.823590068052864e8
21,21740,3,1.0893694348661492e9,2.895729441590332e8
21,21740,4,2.336360852031403e9,1.0743798029585178e9
21,21740,5,4.3749895816970146e8,2.747888902139151e8
21,21740,6,6.794232927201022e7,4.78950456773584e7
21,21740,7,1.7229465064148467e7,1.0693971322583273e7
21,21740,8,2.4214231825381577e7,2.1032578046988405e7
21,21740,9,8.777647060408084e7,1.4668206479905313e8
21,21740,10,3.2578825897595815e7,3.588414125480132e7
22,21740,1,9.996536103707127e9,3.126365657668668e8
22,21740,2,9.680547934075169e9,1.0981925512024908e9
22,21740,3,1.1550970473742335e9,3.0968329739150685e8
22,21740,4,2.0105362481910338e9,9.315406854081647e8
22,21740,5,3.738372094284318e8,2.296001252410969e8
22,21740,6,5.091215177687596e7,3.6320671852274336e7
22,21740,7,9.634205924112137e6,5.124097661883483e6
22,21740,8,1.8280422577757005e7,1.5683849922133757e7
22,21740,9,4.505283008052806e7,7.286609879168609e7
22,21740,10,1.5881023841199629e7,1.7265568976464815e7
23,21740,1,7.812517257656706e9,2.5077180672391865e8
23,21740,2,8.514291440766472e9,9.560387857929443e8
