transect,interval,lat,lon,class,nasc,x,y
7,20180612222508,56.4323718,-164.5772179,PK1,310.122377,526.0727656968004,6254.283245750012
7,20180612222728,56.4240572,-164.5770133,PK1,178.711527,526.091075775613,6253.357876170106
7,20180612222950,56.4157068,-164.576833,PK1,128.295191,526.107916109893,6252.428513993118
7,20180612223212,56.4073432,-164.5773611,PK1,209.449985,526.081054729007,6251.497415070552
7,20180612223433,56.3989909,-164.57783,PK1,168.497794,526.0578247798774,6250.567597757728
7,20180612223655,56.3906735,-164.5779096,PK1,215.213427,526.0585918279008,6249.641813726318
7,20180612223917,56.3823198,-164.578,PK1,174.101994,526.058714059175,6248.711986545152
7,20180612224139,56.3739575,-164.578065,PK1,184.056496,526.0604079513212,6247.781213031887
7,20180612224359,56.3656335,-164.5781243,PK1,220.94606,526.0624255189629,6246.854705827635
7,20180612224622,56.3572655,-164.5780117,PK1,278.148673,526.0750927538787,6245.923367667642
7,20180612224844,56.3488824,-164.5776687,PK1,497.657236,526.1020124586983,6244.990437472162
7,20180612225106,56.3405569,-164.577346,PK1,287.446509,526.1276466338093,6244.063911984785
7,20180612225329,56.3322207,-164.577005,PK1,379.716054,526.1544277651967,6243.136203886502
7,20180612225551,56.3238807,-164.5766277,PK1,401.574377,526.1834650869009,6242.208088030746
7,20180612225814,56.3155177,-164.5762322,PK1,395.484201,526.2136535927925,6241.2774205750675
7,20180612230035,56.3072154,-164.5759667,PK1,626.578193,526.2357673147663,6240.35346103115
7,20180612230258,56.2988526,-164.5756679,PK1,764.499298,526.2599898629084,6239.422781768797
7,20180612230519,56.2905584,-164.5756917,PK1,927.39206,526.2642044131471,6238.499616084878
7,20180612230742,56.2821909,-164.575775,PK1,829.752941,526.2647842593026,6237.568270567537
7,20180612231003,56.2738951,-164.5757121,PK1,853.850055,526.274365640081,6236.644962348334
7,20180612231226,56.2655692,-164.5756418,PK1,615.288945,526.2844271317493,6235.718308042086
7,20180612231448,56.2572286,-164.575545,PK1,944.927508,526.2961417669377,6234.790028986299
7,20180612231712,56.2488493,-164.5754367,PK1,716.533387,526.3085975914732,6233.857448256119
7,20180612231934,56.2405677,-164.5753183,PK1,796.415374,526.3216147598029,6232.935746725918
7,20180612232158,56.2322068,-164.5752037,PK1,770.907697,526.3344533663438,6232.005218885536
7,20180612232421,56.223855,-164.5750767,PK1,666.238434,526.3480571332414,6231.075709898043
7,20180612232645,56.2155034,-164.5749017,PK1,411.052951,526.3646405660085,6230.146242809786
7,20180612232908,56.2071645,-164.5747245,PK1,334.620039,526.3813559050365,6229.218191372027
7,20180612233132,56.1988261,-164.5745437,PK1,71.342306,526.3982984740271,6228.290198259783
7,20180613015025,56.1963835,-164.5748258,PK1,260.78065,526.3824715367617,6228.018229614235
7,20180613015253,56.188046,-164.57487,PK1,219.203328,526.3854501409677,6227.090252166502
7,20180613015520,56.1797122,-164.5749117,PK1,308.294282,526.3885796455655,6226.162688733612
7,20180613015748,56.1713148,-164.5749313,PK1,523.465768,526.3931232979483,6225.22805637542
7,20180613020015,56.1629985,-164.5749413,PK1,430.456319,526.3982064265562,6224.302455316847
7,20180613020243,56.1546227,-164.5748,PK1,368.666362,526.4127279703241,6223.370291136332
7,20180613020511,56.1463006,-164.5745963,PK1,366.640004,526.4310929111062,6222.4441289004
7,20180613020738,56.1379483,-164.5744534,PK1,373.475446,526.4457050848956,6221.514583445461
7,20180613021006,56.1296123,-164.5742673,PK1,426.509697,526.4629945865939,6220.586870011355
7,20180613021232,56.1212832,-164.5740406,PK1,387.986348,526.4828079575982,6219.659941416395
7,20180613021459,56.1129486,-164.573885,PK1,324.651755,526.4982092686035,6218.732374700237
7,20180613021726,56.1046605,-164.5736709,PK1,334.855631,526.517220847041,6217.810007103759
7,20180613021953,56.0963039,-164.5734417,PK1,352.653309,526.5372240952001,6216.880022707311
7,20180613022220,56.087955,-164.5732232,PK1,363.459373,526.5565618381551,6215.950892515773
7,20180613022448,56.0795497,-164.5732792,PK1,431.171594,526.558859107847,6215.015380840029
7,20180613022716,56.0712332,-164.5732783,PK1,573.425119,526.5646353762124,6214.089775536383
7,20180613022943,56.0628816,-164.5732942,PK1,435.363378,526.5693891749312,6213.160258483356
7,20180613023211,56.0545261,-164.573315,PK1,282.633755,526.57383948743,6212.230306744186
7,20180613023439,56.0461714,-164.5732525,PK1,298.426445,526.5834771075004,6211.300477357419
7,20180613023708,56.0378124,-164.5732167,PK1,627.430658,526.5914552183018,6210.370160385738
7,20180613023935,56.0295093,-164.5731397,PK1,433.338647,526.6019628529024,6209.446082027579
7,20180613024204,56.0211305,-164.5730721,PK1,224.758375,526.6119381114426,6208.513576159869
7,20180613024432,56.0127868,-164.5729331,PK1,286.932078,526.6263420243431,6207.585005583326
7,20180613024659,56.0044629,-164.5728224,PK1,408.062923,526.6389706918601,6206.658629050196
7,20180613024927,55.9961002,-164.572725,PK1,217.961199,526.6507988893794,6205.727930373983
7,20180613025155,55.9877612,-164.5726167,PK1,368.915928,526.6632928436662,6204.7998748966065
7,20180613025423,55.9793547,-164.5724618,PK1,420.215256,526.6787434524043,6203.864326216097
7,20180613025650,55.9710132,-164.5723533,PK1,369.629368,526.6912569167642,6202.935995147994
7,20180613025918,55.9626435,-164.572273,PK1,682.371201,526.7020316900134,6202.004515934993
7,20180613030145,55.9543158,-164.5721345,PK1,558.609504,526.716413180122,6201.077734889364
7,20180613030413,55.9459637,-164.5720362,PK1,898.186164,526.7283039622176,6200.148223987493
7,20180613030641,55.9376251,-164.5719783,PK1,538.919688,526.7376638228235,6199.220201227741
7,20180613030908,55.9293058,-164.5718831,PK1,282.049081,526.7493419104238,6198.294342148672
7,20180613031135,55.920981,-164.5718033,PK1,451.686075,526.7600633523733,6197.367866259654
7,20180613031403,55.9125936,-164.5716852,PK1,234.714083,526.7732235417747,6196.434439419681
7,20180613031631,55.9042483,-164.571453,PK1,193.808637,526.7934910016057,6195.5057435494355
7,20180613051502,55.9056362,-164.5716137,PK1,0.978752,526.7824874315738,6195.660146840743
7,20180613051724,55.8973216,-164.571314,PK1,252.391862,526.8069577440193,6194.734894930506
7,20180613051947,55.8890047,-164.5701521,PK1,378.367828,526.8853640710225,6193.809723041398
7,20180613052210,55.8806271,-164.5692627,PK1,253.310933,526.9467955778176,6192.8776920509345
7,20180613052431,55.8722904,-164.5688665,PK1,239.922816,526.9773612389637,6191.950022701067
7,20180613052651,55.8640156,-164.5680289,PK1,166.423489,527.0355194443902,6191.029416171475
7,20180613052914,55.855648,-164.5677133,PK1,381.879658,527.0610870376488,6190.098279383019
7,20180613053136,55.8473143,-164.5681186,PK1,278.692679,527.0415013825767,6189.170635024318
7,20180613053359,55.8389557,-164.5685745,PK1,395.894391,527.0187526691223,6188.2402010886835
7,20180613053620,55.8306556,-164.5690267,PK1,226.555248,526.9961823703941,6187.316280650849
7,20180613053842,55.8223054,-164.5695128,PK1,307.150896,526.9715101575758,6186.386772627842
7,20180613054106,55.813937,-164.569785,PK1,216.432872,526.9602412514637,6185.455323749026
7,20180613054329,55.80558,-164.5696167,PK1,204.062304,526.9765670624917,6184.525316379536
7,20180613054552,55.797255,-164.5694833,PK1,138.739964,526.9906866833256,6183.5988580763205
7,20180613054813,55.7889438,-164.56939,PK1,138.387741,527.0022852139277,6182.673921261181
7,20180613055037,55.7805512,-164.5693078,PK1,146.224888,527.0132457798378,6181.739922205681
7,20180613055259,55.7722407,-164.5691531,PK1,350.260421,527.0286993509184,6180.815089788455
7,20180613055522,55.7638998,-164.5690288,PK1,319.965216,527.0422700130724,6179.886863523825
7,20180613055743,55.7555586,-164.5689,PK1,266.424308,527.0561260541094,6178.958606914372
7,20180613060006,55.747183,-164.568805,PK1,149.433655,527.0678870317798,6178.026509964583
7,20180613060228,55.7388404,-164.568645,PK1,140.042559,527.0837082908697,6177.098112311371
7,20180613060450,55.7305333,-164.5684837,PK1,236.086805,527.0995903053538,6176.173667304443
7,20180613060712,55.722159,-164.5683517,PK1,300.192792,527.1136821602352,6175.2417333682615
7,20180613060935,55.7138302,-164.568225,PK1,254.273667,527.1274124635166,6174.314862395389
7,20180613061157,55.7054851,-164.5681417,PK1,272.097467,527.1384295887063,6173.386161682828
7,20180613061420,55.6971778,-164.5681,PK1,257.597044,527.1468074397841,6172.461652749926
7,20180613061644,55.6887907,-164.5680583,PK1,182.397392,527.1552411279142,6171.528264094289
7,20180613061906,55.6804638,-164.5680744,PK1,174.365412,527.1599991222268,6170.601553766823
7,20180613062128,55.672137,-164.5680714,PK1,438.017085,527.1659573145802,6169.674863303882
7,20180613062350,55.6637685,-164.5681233,PK1,206.358433,527.1684902717277,6168.74351180786
7,20180613062611,55.6554353,-164.5682233,PK1,265.416984,527.1679703065196,6167.816071280474
7,20180613062833,55.6470675,-164.5682377,PK1,359.284753,527.1728582173395,6166.884814901946
7,20180613063056,55.6387454,-164.5679226,PK1,266.49846,527.1984547773077,6165.958774798402
7,20180613063318,55.6303859,-164.5675395,PK1,194.014681,527.2283664469473,6165.028600517755
7,20180613063540,55.6220864,-164.5671746,PK1,183.887346,527.2571000312885,6164.105097882425
