specimen_id,species_code,event_id,organism_weight,fork_length
25027,21740,116,0.016,13.0
25028,21740,117,0.804,47.0
25029,21740,117,0.73,51.0
25030,21740,117,0.966,52.0
25031,21740,117,0.758,49.0
25032,21740,117,0.8,49.0
25033,21740,117,0.622,44.0
25034,21740,117,0.768,50.0
25035,21740,117,0.662,47.0
25036,21740,117,0.77,50.0
25037,21740,117,0.928,51.0
25038,21740,117,0.734,50.0
25039,21740,117,1.218,56.0
25040,21740,117,0.822,49.0
25041,21740,117,1.096,55.0
25867,21740,119,0.516,42.0
25868,21740,119,0.548,45.0
25869,21740,119,0.47,41.0
25870,21740,119,0.458,39.0
25871,21740,119,0.618,44.0
25872,21740,119,0.608,45.0
25873,21740,119,0.628,46.0
25874,21740,119,0.506,42.0
25875,21740,119,0.572,45.0
25876,21740,119,0.452,41.0
25877,21740,119,0.57,43.0
25878,21740,119,0.806,50.0
25879,21740,119,0.566,42.0
25880,21740,119,0.648,46.0
25881,21740,119,0.566,44.0
25882,21740,119,0.464,40.0
25883,21740,119,0.4,38.0
25884,21740,119,0.728,51.0
25885,21740,119,0.658,44.0
25886,21740,119,0.458,41.0
25887,21740,119,0.312,35.0
25888,21740,119,0.422,39.0
25889,21740,119,0.592,43.0
25891,21740,119,0.586,44.0
25892,21740,119,0.654,47.0
25893,21740,119,0.262,34.0
25894,21740,119,0.636,45.0
25895,21740,119,0.622,46.0
25896,21740,119,0.59,43.0
25897,21740,119,0.488,40.0
25898,21740,119,0.456,41.0
25899,21740,119,0.522,42.0
25900,21740,119,0.552,43.0
25901,21740,119,0.436,42.0
25902,21740,119,0.084,23.0
25903,21740,119,0.054,20.0
25904,21740,119,0.056,21.0
25905,21740,119,0.07,21.0
27990,21740,129,0.74,47.0
27991,21740,129,0.682,48.0
27992,21740,129,0.536,45.0
27993,21740,129,0.704,47.0
27994,21740,129,0.766,47.0
27995,21740,129,0.654,46.0
27996,21740,129,0.742,48.0
27997,21740,129,0.686,53.0
27998,21740,129,0.712,49.0
27999,21740,129,0.964,52.0
28000,21740,129,0.758,49.0
28001,21740,129,0.732,47.0
28002,21740,129,0.674,47.0
28003,21740,129,0.894,50.0
28004,21740,129,0.732,48.0
28005,21740,129,0.594,45.0
28006,21740,129,0.66,45.0
28007,21740,129,0.698,49.0
28008,21740,129,0.64,47.0
28009,21740,129,0.596,46.0
28010,21740,129,0.798,49.0
28011,21740,129,0.77,47.0
28012,21740,129,0.944,53.0
28013,21740,129,0.64,45.0
28014,21740,129,0.628,44.0
28015,21740,129,0.89,51.0
28016,21740,129,0.522,42.0
28017,21740,129,0.51,43.0
28018,21740,129,0.6,45.0
28019,21740,129,0.716,47.0
28020,21740,129,0.674,46.0
28021,21740,129,0.682,44.0
25042,21740,117,0.91,50.0
