x,y
280.0,6167.0
290.0,6167.0
300.0,6167.0
310.0,6167.0
320.0,6167.0
330.0,6167.0
340.0,6167.0
350.0,6167.0
360.0,6167.0
370.0,6167.0
380.0,6167.0
390.0,6167.0
400.0,6167.0
410.0,6167.0
420.0,6167.0
430.0,6167.0
440.0,6167.0
450.0,6167.0
460.0,6167.0
470.0,6167.0
480.0,6167.0
490.0,6167.0
500.0,6167.0
510.0,6167.0
520.0,6167.0
530.0,6167.0
540.0,6167.0
550.0,6167.0
560.0,6167.0
570.0,6167.0
580.0,6167.0
590.0,6167.0
600.0,6167.0
610.0,6167.0
230.0,6177.0
240.0,6177.0
250.0,6177.0
260.0,6177.0
270.0,6177.0
280.0,6177.0
290.0,6177.0
300.0,6177.0
310.0,6177.0
320.0,6177.0
330.0,6177.0
340.0,6177.0
350.0,6177.0
360.0,6177.0
370.0,6177.0
380.0,6177.0
390.0,6177.0
400.0,6177.0
410.0,6177.0
420.0,6177.0
430.0,6177.0
440.0,6177.0
450.0,6177.0
460.0,6177.0
470.0,6177.0
480.0,6177.0
490.0,6177.0
500.0,6177.0
510.0,6177.0
520.0,6177.0
530.0,6177.0
540.0,6177.0
550.0,6177.0
560.0,6177.0
570.0,6177.0
580.0,6177.0
590.0,6177.0
600.0,6177.0
610.0,6177.0
220.0,6187.0
230.0,6187.0
240.0,6187.0
250.0,6187.0
260.0,6187.0
270.0,6187.0
280.0,6187.0
290.0,6187.0
300.0,6187.0
310.0,6187.0
320.0,6187.0
330.0,6187.0
340.0,6187.0
350.0,6187.0
360.0,6187.0
370.0,6187.0
380.0,6187.0
390.0,6187.0
400.0,6187.0
410.0,6187.0
420.0,6187.0
430.0,6187.0
440.0,6187.0
450.0,6187.0
460.0,6187.0
470.0,6187.0
480.0,6187.0
490.0,6187.0
500.0,6187.0
510.0,6187.0
520.0,6187.0
530.0,6187.0
540.0,6187.0
550.0,6187.0
560.0,6187.0
570.0,6187.0
580.0,6187.0
590.0,6187.0
600.0,6187.0
610.0,6187.0
210.0,6197.0
220.0,6197.0
230.0,6197.0
240.0,6197.0
250.0,6197.0
260.0,6197.0
270.0,6197.0
280.0,6197.0
290.0,6197.0
300.0,6197.0
310.0,6197.0
320.0,6197.0
330.0,6197.0
340.0,6197.0
350.0,6197.0
360.0,6197.0
370.0,6197.0
380.0,6197.0
390.0,6197.0
400.0,6197.0
410.0,6197.0
420.0,6197.0
430.0,6197.0
440.0,6197.0
450.0,6197.0
460.0,6197.0
470.0,6197.0
480.0,6197.0
490.0,6197.0
500.0,6197.0
510.0,6197.0
520.0,6197.0
530.0,6197.0
540.0,6197.0
