survey,haul_id,latitude,longitude,lla,utm,x,y
202207,GAP-94-100,57.18581,-169.86464,"LLA(lat=57.18581000°, lon=-169.864640000°, alt=0.0)","UTM(206103.755154890939593, 6348565.4029554157, 0.0)",206.10375515489093,6348.565402955415
202207,GAP-94-101,57.00052,-169.57179,"LLA(lat=57.00052000°, lon=-169.571790000°, alt=0.0)","UTM(222397.303894575394224, 6326740.3047871320, 0.0)",222.3973038945754,6326.740304787132
202207,GAP-94-102,56.8332,-169.82156,"LLA(lat=56.83320000°, lon=-169.821560000°, alt=0.0)","UTM(205930.845766961807385, 6309186.0107009830, 0.0)",205.9308457669618,6309.186010700983
202207,GAP-94-103,56.64287,-170.08987,"LLA(lat=56.64287000°, lon=-170.089870000°, alt=0.0)","UTM(188008.015748744423036, 6289220.2241649386, 0.0)",188.0080157487444,6289.220224164938
202207,GAP-94-104,56.67744,-169.57817,"LLA(lat=56.67744000°, lon=-169.578170000°, alt=0.0)","UTM(219602.622448443842586, 6290849.6666964320, 0.0)",219.60262244844384,6290.849666696432
202207,GAP-94-105,57.48172,-169.9082,"LLA(lat=57.48172000°, lon=-169.908200000°, alt=0.0)","UTM(205852.455265361233614, 6381644.7988370694, 0.0)",205.85245526536124,6381.644798837069
202207,GAP-94-106,57.65528,-169.63745,"LLA(lat=57.65528000°, lon=-169.637450000°, alt=0.0)","UTM(223384.013445953023620, 6399798.2015108699, 0.0)",223.38401344595303,6399.79820151087
202207,GAP-94-107,57.8177,-169.96495,"LLA(lat=57.81770000°, lon=-169.964950000°, alt=0.0)","UTM(205195.631284225732088, 6419235.6742023462, 0.0)",205.19563128422573,6419.235674202347
202207,GAP-94-108,57.99025,-169.68032,"LLA(lat=57.99025000°, lon=-169.680320000°, alt=0.0)","UTM(223409.728520217002369, 6437212.3155443845, 0.0)",223.40972852021702,6437.212315544384
202207,GAP-94-109,57.98669,-169.08032,"LLA(lat=57.98669000°, lon=-169.080320000°, alt=0.0)","UTM(258815.374951897567371, 6434515.1043735072, 0.0)",258.8153749518976,6434.515104373507
202207,GAP-94-110,58.32694,-169.10957,"LLA(lat=58.32694000°, lon=-169.109570000°, alt=0.0)","UTM(259397.226025064068381, 6472458.7484831177, 0.0)",259.39722602506407,6472.458748483117
202207,GAP-94-116,59.34022,-169.88649,"LLA(lat=59.34022000°, lon=-169.886490000°, alt=0.0)","UTM(222196.187720218498725, 6588136.4318104060, 0.0)",222.1961877202185,6588.136431810406
202207,GAP-94-117,59.01357,-169.81786,"LLA(lat=59.01357000°, lon=-169.817860000°, alt=0.0)","UTM(223465.098219178151339, 6551539.3900597040, 0.0)",223.46509821917815,6551.539390059704
202207,GAP-94-118,58.68529,-169.77289,"LLA(lat=58.68529000°, lon=-169.772890000°, alt=0.0)","UTM(223435.691134768421762, 6514859.7355743349, 0.0)",223.43569113476843,6514.859735574335
202207,GAP-94-119,58.34781,-169.72683,"LLA(lat=58.34781000°, lon=-169.726830000°, alt=0.0)","UTM(223456.299676632683259, 6477152.9713660702, 0.0)",223.45629967663268,6477.15297136607
202207,GAP-94-120,58.01894,-170.32229,"LLA(lat=58.01894000°, lon=-170.322290000°, alt=0.0)","UTM(185768.570504782954231, 6443212.3268836029, 0.0)",185.76857050478296,6443.212326883603
202207,GAP-94-121,57.85866,-170.58398,"LLA(lat=57.85866000°, lon=-170.583980000°, alt=0.0)","UTM(168863.843849229626358, 6426654.5403407849, 0.0)",168.86384384922962,6426.654540340785
202207,GAP-94-122,57.68254,-170.31665,"LLA(lat=57.68254000°, lon=-170.316650000°, alt=0.0)","UTM(183155.814494393474888, 6405804.6519421078, 0.0)",183.15581449439347,6405.804651942108
202207,GAP-94-123,57.52348,-170.57244,"LLA(lat=57.52348000°, lon=-170.572440000°, alt=0.0)","UTM(166476.506273343577050, 6389359.1644603824, 0.0)",166.47650627334357,6389.359164460382
202207,GAP-94-124,57.3426,-170.19542,"LLA(lat=57.34260000°, lon=-170.195420000°, alt=0.0)","UTM(187474.404683609085623, 6367466.0318198400, 0.0)",187.4744046836091,6367.46603181984
202207,GAP-94-125,57.14531,-170.49734,"LLA(lat=57.14531000°, lon=-170.497340000°, alt=0.0)","UTM(167561.257697381370235, 6346974.9965825286, 0.0)",167.56125769738136,6346.974996582529
202207,GAP-94-126,57.00387,-170.15935,"LLA(lat=57.00387000°, lon=-170.159350000°, alt=0.0)","UTM(186785.528700362308882, 6329657.0342090568, 0.0)",186.7855287003623,6329.657034209057
202207,GAP-94-127,56.97385,-171.40249,"LLA(lat=56.97385000°, lon=-171.402490000°, alt=0.0)","UTM(111119.308951043232810, 6332722.3042985452, 0.0)",111.11930895104324,6332.722304298545
202207,GAP-94-128,57.30579,-171.47541,"LLA(lat=57.30579000°, lon=-171.475410000°, alt=0.0)","UTM(110211.520739519852214, 6369993.9008727511, 0.0)",110.21152073951986,6369.9939008727515
202207,GAP-94-129,57.32088,-172.08917,"LLA(lat=57.32088000°, lon=-172.089170000°, alt=0.0)","UTM(73517.185230065544602, 6375358.5468058689, 0.0)",73.51718523006555,6375.358546805869
202207,GAP-94-130,57.64168,-172.15451,"LLA(lat=57.64168000°, lon=-172.154510000°, alt=0.0)","UTM(73362.347440139390528, 6411365.3960314384, 0.0)",73.36234744013939,6411.365396031439
202207,GAP-94-131,57.6386,-171.53075,"LLA(lat=57.63860000°, lon=-171.530750000°, alt=0.0)","UTM(110452.588049210142344, 6407260.4501429843, 0.0)",110.45258804921015,6407.260450142984
202207,GAP-94-132,57.98303,-171.59536,"LLA(lat=57.98303000°, lon=-171.595360000°, alt=0.0)","UTM(110347.311185003258288, 6445869.0856433930, 0.0)",110.34731118500326,6445.869085643393
202207,GAP-94-133,58.3109,-171.64683,"LLA(lat=58.31090000°, lon=-171.646830000°, alt=0.0)","UTM(110914.900650096766185, 6482561.9763351697, 0.0)",110.91490065009677,6482.56197633517
202207,GAP-94-134,58.64796,-171.71111,"LLA(lat=58.64796000°, lon=-171.711110000°, alt=0.0)","UTM(110912.555069872003514, 6520347.5345299821, 0.0)",110.912555069872,6520.347534529982
202207,GAP-94-135,58.97864,-171.78251,"LLA(lat=58.97864000°, lon=-171.782510000°, alt=0.0)","UTM(110515.999649759382010, 6557464.8777340893, 0.0)",110.51599964975938,6557.464877734089
