column1,survey,event_id,eqlongitude,eqlatitude,lla,utm,x,y,edsu_idx
29,200909,7,-163.44090167,56.39631,"LLA(lat=56.39631°, lon=-163.44090167°, alt=0.0)","UTM(596235.5653134612, 6.251279890546266e6, 0.0)",596.2355653134613,6251.279890546266,590
30,200909,8,-164.04880333,55.32742667,"LLA(lat=55.32742667°, lon=-164.04880333°, alt=0.0)","UTM(560349.1809571492, 6.131640119236895e6, 0.0)",560.3491809571492,6131.640119236895,356
31,200909,9,-164.03507,56.15262667,"LLA(lat=56.15262667°, lon=-164.03507°, alt=0.0)","UTM(559942.1141945042, 6.223485955896052e6, 0.0)",559.9421141945043,6223.485955896052,425
32,200909,68,-175.70178667,59.00596333,"LLA(lat=59.00596333°, lon=-175.70178667°, alt=0.0)","UTM(-113042.58004393999, 6.590013710949205e6, 0.0)",-113.04258004393999,6590.013710949205,1632
33,200909,69,-175.75521667,59.13826333,"LLA(lat=59.13826333°, lon=-175.75521667°, alt=0.0)","UTM(-113705.8452381189, 6.605115567812579e6, 0.0)",-113.7058452381189,6605.115567812579,2086
34,200909,70,-175.751785,59.13848667,"LLA(lat=59.13848667°, lon=-175.751785°, alt=0.0)","UTM(-113507.12268568424, 6.605108484196288e6, 0.0)",-113.50712268568424,6605.1084841962875,2086
35,200909,71,-175.87757667,59.563845,"LLA(lat=59.563845°, lon=-175.87757667°, alt=0.0)","UTM(-112881.4956145793, 6.653228965307903e6, 0.0)",-112.8814956145793,6653.228965307902,2137
36,200909,72,-176.70052,62.04874,"LLA(lat=62.04874°, lon=-176.70052°, alt=0.0)","UTM(-109459.63930852164, 6.934856783368475e6, 0.0)",-109.45963930852164,6934.856783368475,3399
37,200909,73,-177.16122667,61.35087167,"LLA(lat=61.35087167°, lon=-177.16122667°, alt=0.0)","UTM(-147819.7254079202, 6.862536735356213e6, 0.0)",-147.8197254079202,6862.536735356212,3303
38,200909,74,-176.77199833,60.26862,"LLA(lat=60.26862°, lon=-176.77199833°, alt=0.0)","UTM(-148934.16259723133, 6.739522404078327e6, 0.0)",-148.93416259723134,6739.522404078327,2949
39,200909,75,-176.65100167,59.91587667,"LLA(lat=59.91587667°, lon=-176.65100167°, alt=0.0)","UTM(-149259.87833128264, 6.6994606269518705e6, 0.0)",-149.25987833128264,6699.460626951871,2992
40,200909,10,-164.03695833,56.15938,"LLA(lat=56.15938°, lon=-164.03695833°, alt=0.0)","UTM(559814.3204590189, 6.2242359228774905e6, 0.0)",559.814320459019,6224.23592287749,426
41,200909,11,-164.03756167,56.16222,"LLA(lat=56.16222°, lon=-164.03756167°, alt=0.0)","UTM(559772.4380910175, 6.224551475539637e6, 0.0)",559.7724380910175,6224.551475539637,426
42,200909,12,-164.62153,56.28230667,"LLA(lat=56.28230667°, lon=-164.62153°, alt=0.0)","UTM(523431.9287290362, 6.237564650467605e6, 0.0)",523.4319287290361,6237.564650467605,575
43,200909,13,-164.62588667,55.10406167,"LLA(lat=55.10406167°, lon=-164.62588667°, alt=0.0)","UTM(523869.4451941729, 6.10643531552294e6, 0.0)",523.869445194173,6106.43531552294,329
44,200909,14,-165.19314,54.77948,"LLA(lat=54.77948°, lon=-165.19314°, alt=0.0)","UTM(487577.4580649846, 6.070269728648112e6, 0.0)",487.57745806498457,6070.2697286481125,459
45,200909,15,-165.19486,54.78031167,"LLA(lat=54.78031167°, lon=-165.19486°, alt=0.0)","UTM(487467.0869145046, 6.070362578511867e6, 0.0)",487.4670869145046,6070.362578511867,562
46,200909,16,-165.82296833,55.84784167,"LLA(lat=55.84784167°, lon=-165.82296833°, alt=0.0)","UTM(448472.44335922116, 6.189451237823424e6, 0.0)",448.47244335922113,6189.451237823424,875
47,200909,17,-165.82130833,55.84268833,"LLA(lat=55.84268833°, lon=-165.82130833°, alt=0.0)","UTM(448569.57275248633, 6.188876487043094e6, 0.0)",448.56957275248635,6188.876487043094,4
48,200909,18,-165.82054167,55.84099,"LLA(lat=55.84099°, lon=-165.82054167°, alt=0.0)","UTM(448615.33987331257, 6.188686910324045e6, 0.0)",448.61533987331256,6188.686910324045,4
49,200909,76,-176.60919667,59.79097667,"LLA(lat=59.79097667°, lon=-176.60919667°, alt=0.0)","UTM(-149392.0568797969, 6.685282956267541e6, 0.0)",-149.3920568797969,6685.2829562675415,3593
50,200909,77,-176.47351167,59.38820333,"LLA(lat=59.38820333°, lon=-176.47351167°, alt=0.0)","UTM(-149627.18679084268, 6.639545246260552e6, 0.0)",-149.62718679084267,6639.545246260552,3643
51,200909,78,-177.38033,60.08810167,"LLA(lat=60.08810167°, lon=-177.38033°, alt=0.0)","UTM(-185986.27866736893, 6.725840499053824e6, 0.0)",-185.98627866736894,6725.840499053824,2964
