Column1,survey,vessel,event_id,latitude,longitude
63,202401,134,85,56.67471,-166.44329
64,202401,134,86,56.34244,-166.41374
65,202401,134,87,56.01046,-166.40931
66,202401,134,88,55.68937,-166.39056
67,202401,134,89,56.9838,-166.45159
68,202401,134,90,57.32317,-166.47844
69,202401,134,91,57.64947,-166.48896
70,202401,134,92,57.33239,-167.13193
71,202401,134,93,57.66442,-167.13874
72,202401,134,94,57.98852,-166.53697
73,202401,134,95,58.31081,-167.83687
74,202401,134,96,58.65375,-167.87944
75,202401,134,97,58.97743,-167.90154
76,202401,134,98,59.30765,-167.92199
77,202401,134,99,59.65207,-167.96591
78,202401,134,100,59.97348,-167.9895
79,202401,134,101,60.33268,-168.01627
80,202401,134,102,60.3342,-167.29401
81,202401,134,103,60.01708,-169.32888
82,202401,134,104,59.69172,-169.273
83,202401,134,105,59.36106,-169.24224
84,202401,134,106,59.33579,-169.8552
85,202401,134,107,59.02477,-169.17792
86,202401,134,108,58.6676,-169.14255
87,202401,134,109,58.66853,-169.80041
88,202401,134,110,58.6687,-170.42705
89,202401,134,111,58.34368,-170.38028
90,202401,134,112,57.99988,-170.35106
91,202401,134,113,58.01279,-169.69332
92,202401,134,114,57.67636,-169.64999
93,202401,134,115,57.67795,-170.24994
94,202401,134,116,57.32477,-170.24498
95,202401,134,117,57.33765,-169.64788
96,202401,134,118,57.0093,-169.55404
97,202401,134,119,56.6617,-169.52602
98,202401,134,120,56.67368,-168.93893
99,202401,134,122,56.3367,-168.90104
100,202401,134,125,55.67465,-168.19718
101,202401,134,126,55.67293,-167.58441
102,202401,134,127,55.35868,-167.54704
103,202401,134,128,55.0176,-166.96449
104,202401,134,129,55.3396,-166.97296
105,202401,134,130,55.35305,-166.34808
106,202401,134,131,55.02592,-166.34401
107,202401,134,132,55.00005,-165.76722
108,202401,134,133,56.33629,-170.06521
109,202401,134,134,56.65863,-170.10433
110,202401,134,135,57.00391,-170.14001
111,202401,134,136,56.98192,-171.38861
112,202401,134,137,57.31832,-171.46717
113,202401,134,138,57.63986,-171.53519
114,202401,134,139,57.97417,-171.59309
115,202401,134,140,58.31806,-171.64934
116,202401,134,141,58.64435,-171.71718
117,202401,134,142,58.98263,-171.78284
118,202401,134,143,59.31409,-171.83326
119,202401,134,144,59.31531,-171.17757
120,202401,134,146,59.65527,-171.8782
121,202401,134,148,60.30022,-173.37317
122,202401,134,149,60.01069,-173.30293
123,202401,134,150,59.99555,-172.61779
124,202401,134,151,60.31647,-172.0646
125,202401,134,152,60.6589,-172.06522
126,202401,134,153,60.67926,-172.77686
127,202401,134,154,60.65377,-173.47447
128,202401,134,155,60.65985,-174.12019
129,202401,134,156,60.98409,-174.1906
130,202401,134,157,61.32013,-174.33202
131,202401,134,158,61.65046,-175.075
132,202401,134,159,61.98559,-175.16813
133,202401,134,162,61.67636,-176.45947
134,202401,134,163,61.34054,-176.29993
135,202401,134,164,61.34328,-176.94134
136,202401,134,165,61.00458,-177.61653
137,202401,134,166,61.0053,-176.99327
138,202401,134,167,61.00631,-176.31515
139,202401,134,168,60.67654,-176.20567
140,202401,134,169,60.6829,-176.81906
141,202401,134,170,60.33684,-176.73828
142,202401,134,171,60.32907,-176.0772
143,202401,134,172,60.33433,-175.43046
144,202401,134,173,60.01988,-175.26898
145,202401,134,174,59.6752,-175.10971
146,202401,134,175,59.66869,-175.83972
147,202401,134,176,59.97502,-175.92346
148,202401,134,177,60.01773,-176.71713
149,202401,134,178,59.69155,-176.54489
150,202401,134,179,59.36137,-176.39128
151,202401,134,180,59.01926,-176.3096
152,202401,134,181,58.99806,-177.64293
153,202401,134,182,59.00356,-176.96413
154,202401,134,183,58.6781,-176.85094
155,202401,134,184,58.6672,-176.24092
156,202401,134,185,59.0115,-175.0465
157,202401,134,186,59.00257,-174.39601
158,202401,134,187,59.01122,-173.73614
159,202401,134,188,58.69289,-173.63735
160,202401,134,189,58.6711,-173.03151
161,202401,134,190,58.68071,-172.37988
162,202401,134,192,58.33008,-172.30684
163,202401,134,193,58.01624,-172.25642
164,202401,134,194,57.31454,-173.35268
165,202401,134,195,57.33825,-172.81487
166,202401,134,196,57.33198,-172.10465
167,202401,134,197,56.67903,-172.58205
168,202401,134,198,56.6666,-171.9927
169,202401,134,199,56.99856,-172.05297
170,202401,134,200,56.33876,-169.33602
171,202401,134,201,59.3272,-177.04253
172,202401,134,202,59.64716,-177.13518
173,202401,134,203,60.01157,-177.88314
174,202401,134,204,59.98789,-177.20079
175,202401,134,205,60.31444,-177.37006
176,202401,134,206,60.65791,-177.49997
177,202401,134,207,60.66179,-178.1456
178,202401,162,18,57.32113,-159.05064
179,202401,162,19,57.65988,-159.02342
180,202401,162,20,57.96832,-158.972
181,202401,162,21,58.32661,-159.54381
182,202401,162,22,58.01403,-159.5762
183,202401,162,24,57.33987,-159.68343
184,202401,162,26,56.33624,-160.99659
185,202401,162,27,56.65583,-160.97528
186,202401,162,28,56.98099,-160.94975
187,202401,162,29,57.334,-160.92467
188,202401,162,30,57.65488,-160.87847
189,202401,162,31,57.98735,-160.84267
190,202401,162,32,57.99234,-160.23957
191,202401,162,33,58.26865,-159.97893
192,202401,162,34,58.28438,-160.78203
193,202401,162,35,58.22885,-161.55088
194,202401,162,36,58.32953,-162.10719
195,202401,162,37,58.00756,-162.14013
196,202401,162,38,57.99849,-161.48609
197,202401,162,39,57.68308,-161.49547
198,202401,162,40,57.00395,-162.16745
199,202401,162,42,56.68212,-162.16152
200,202401,162,43,56.34119,-162.18743
201,202401,162,44,56.98426,-162.78784
202,202401,162,46,57.65767,-162.75148
203,202401,162,47,57.98863,-162.7261
204,202401,162,48,58.31328,-162.70311
205,202401,162,49,58.63387,-162.70675
206,202401,162,50,58.66774,-163.33732
207,202401,162,51,58.98319,-163.35229
208,202401,162,52,59.33981,-164.00497
209,202401,162,53,59.01535,-163.99546
210,202401,162,54,58.68825,-164.0064
211,202401,162,55,58.32914,-163.97006
212,202401,162,56,58.31693,-163.40031
213,202401,162,57,57.99752,-163.32726
214,202401,162,58,58.00243,-163.99793
215,202401,162,59,57.67174,-163.99031
216,202401,162,60,57.67045,-164.61921
217,202401,162,61,57.35267,-164.61317
218,202401,162,62,57.00039,-164.61405
219,202401,162,63,56.67889,-164.60119
220,202401,162,64,56.34595,-164.58636
221,202401,162,65,56.0104,-164.59688
222,202401,162,66,55.68331,-164.58667
223,202401,162,67,54.67014,-165.16374
224,202401,162,68,54.82549,-165.54239
225,202401,162,69,54.98743,-165.13897
