region,INTERVAL,lat,lon,biomass_ton,numbers_millions
West of 170,20240707004100,60.615885250000005,-174.77233535,117.12487050149728,0.37101147963983716
West of 170,20240707004323,60.6241827,-174.7744213,93.46138739929496,0.29784950859842263
West of 170,20240707004545,60.6324513,-174.7765482,233.90922005468235,0.7172722898155773
West of 170,20240707004807,60.6406899,-174.77873095,126.46603279759594,0.3934613104479967
West of 170,20240707005030,60.64899585,-174.78097745,136.24676043489112,0.43350528787129683
West of 170,20240707005252,60.6572541,-174.78332395,53.42633368538301,0.16942181776351325
West of 170,20240707005513,60.665470400000004,-174.7856724,88.80379225140261,0.2822623172216224
West of 170,20240707005734,60.67372935,-174.78802865,108.01195926631839,0.34449453288236476
West of 170,20240707005957,60.6820015,-174.79026525,160.55611055649607,0.5157884085150201
West of 170,20240707010220,60.69028395,-174.79246095,133.27401282478885,0.42856745230471316
West of 170,20240707010442,60.6985299,-174.79471669999998,108.88563419191725,0.35090978888935215
West of 170,20240707010705,60.706759250000005,-174.7969468,218.99654584113094,0.7084932818084394
West of 170,20240707010926,60.715002,-174.79915015,131.18866866224118,0.4127883504982372
West of 170,20240707011149,60.723219549999996,-174.8014494,173.84346357203293,0.5544694447779993
West of 170,20240707011412,60.73146955,-174.80385665,135.35041674006433,0.42648544203712896
West of 170,20240707011634,60.7396904,-174.80621495,137.97033649698076,0.4378704264630003
West of 170,20240707011856,60.74791295,-174.80849030000002,143.38658828211575,0.4575235601929442
West of 170,20240707012119,60.75617065,-174.81059779999998,113.314488329059,0.35828128994864195
West of 170,20240707012341,60.7644294,-174.8126873,130.64373642547824,0.41346260002644497
West of 170,20240707012603,60.7726324,-174.81491975,112.11563573769277,0.35852325379394434
West of 170,20240707012823,60.780875800000004,-174.81729425,114.52892194184153,0.3665294590289968
West of 170,20240707013045,60.78912845,-174.81971915,88.94256174497605,0.28423171849180884
West of 170,20240707013306,60.7973529,-174.8221379,173.8282148954365,0.5580731278399781
West of 170,20240707013527,60.80555435,-174.82447995,175.3144007250056,0.5589237899322355
West of 170,20240707013747,60.8137681,-174.82676320000002,200.5115726690295,0.6454953299385784
West of 170,20240707014008,60.822029900000004,-174.82906509999998,207.35120425255823,0.6670549478587452
West of 170,20240707014230,60.83025835,-174.83133035,99.75700936718766,0.32158403679404673
West of 170,20240707014450,60.838474250000004,-174.83333975,102.94256344935299,0.33226089952397203
West of 170,20240707014711,60.8467309,-174.83521785,117.30009485941338,0.37908541587291317
West of 170,20240707014934,60.85500155,-174.83733990000002,94.04064895794882,0.30492896644995077
West of 170,20240707015155,60.8632272,-174.83976255,114.8711657315964,0.37242675695600264
West of 170,20240707015417,60.8714384,-174.84224469999998,163.1636608941811,0.5278133182075522
West of 170,20240707015638,60.8796619,-174.8446118,117.65562632507667,0.3831516005101608
West of 170,20240707015900,60.8879267,-174.84690295000001,162.73199209844455,0.5279433095799954
West of 170,20240707020122,60.896171499999994,-174.84910854999998,177.25589013675696,0.5748500174612973
West of 170,20240707020343,60.9044153,-174.851268,137.77873639492952,0.4519838504457992
West of 170,20240707020604,60.91266655,-174.85346895,108.11257722275768,0.35827994011257724
West of 170,20240707020824,60.92088215,-174.8556924,175.6125762144977,0.5822454012051269
West of 170,20240707021045,60.92910105,-174.85800155,158.93431493918627,0.526948363522186
West of 170,20240707021305,60.93731665,-174.8603261,169.48699613751066,0.5580710008268264
West of 170,20240707021526,60.945561999999995,-174.8627099,129.85244624345177,0.42490613841180835
West of 170,20240707021748,60.953833700000004,-174.86506559999998,125.18441339550671,0.4199524907019988
West of 170,20240707022009,60.96205405,-174.86733320000002,285.1374846822018,0.9248438314139936
West of 170,20240707022229,60.9702875,-174.86954545,150.05063633752903,0.4877991099431668
West of 170,20240707022450,60.97852195,-174.87171260000002,188.99358087720555,0.6251932384761899
West of 170,20240707022710,60.986769949999996,-174.8739183,89.7912852958966,0.3047138438572152
West of 170,20240707022932,60.995016050000004,-174.8761919,109.0640846267507,0.3725346515856567
West of 170,20240707023152,61.00328555,-174.87856355000002,119.12454270372302,0.39763297782839935
West of 170,20240707023413,61.0115416,-174.88087945,126.08469207609254,0.42267322636813665
West of 170,20240707023633,61.01981245,-174.883134,159.10420237858725,0.523463094295145
West of 170,20240707023855,61.02806755,-174.8854627,78.34650319915453,0.2632450116272323
West of 170,20240707024114,61.03630645,-174.88779384999998,155.28552884521932,0.5015147161490243
West of 170,20240707024334,61.04457345,-174.89002675,85.92775401103123,0.2797653032964197
West of 170,20240707024553,61.0528334,-174.8922018,153.31798597971354,0.49577734127433465
West of 170,20240707024813,61.061109599999995,-174.8944257,136.62394033884243,0.4423292920342084
West of 170,20240707025033,61.0693706,-174.8967138,140.7851126634588,0.45484008713689794
West of 170,20240707025253,61.07762415,-174.89900105,86.45913260368803,0.2799990432995932
West of 170,20240707025512,61.08587875,-174.90125875,104.83180259858133,0.33838523566239176
West of 170,20240707025732,61.09413185,-174.90352875,129.43174859445304,0.4179008319064962
West of 170,20240707025951,61.10231665,-174.90584335,126.13534774912277,0.40768934436371895
West of 170,20240707030210,61.11055815,-174.90816705,45.31551512616839,0.14719858841832933
West of 170,20240707030429,61.118835250000004,-174.91044405,140.19097846161202,0.4524363216033904
West of 170,20240707030649,61.12709075,-174.9127321,113.80937289565799,0.36912895318225875
West of 170,20240707030908,61.1353451,-174.9150316,213.72964810914777,0.6899309903018938
West of 170,20240707031127,61.1435994,-174.91739395000002,209.38480701300787,0.6770765154216816
West of 170,20240707031347,61.1518227,-174.9197047,138.49313947255988,0.44888190770350567
West of 170,20240707031604,61.16000245,-174.9219695,337.12806330440526,1.0882160766666857
West of 170,20240707031822,61.16822115,-174.9242792,192.62224170956912,0.676380820572909
West of 170,20240707032041,61.17646825,-174.92666645,219.81114337243136,0.7722092168055484
West of 170,20240707032301,61.18473675,-174.92898865,101.03119470451428,0.3546532964754515
West of 170,20240707032520,61.19298795,-174.9312248,192.32098555819834,0.6752636308441796
West of 170,20240707032739,61.201185,-174.93351925,160.46649729848895,0.563803881868619
West of 170,20240707032957,61.20939245,-174.9359113,118.79066336914696,0.41779692770636584
West of 170,20240707033216,61.21765035,-174.93822584999998,175.6058860141429,0.6171538331409404
West of 170,20240707033434,61.2258738,-174.9404611,41.716947974914596,0.1466565978137374
West of 170,20240707033652,61.23411925,-174.9426492,78.30425211133544,0.2752205522361995
